更新日,代號,名稱,市場,今收,漲停,跌停,threshold3,threshold4,條件3,條件4,條件6門檻(TP)
2026/08/30,3260,威剛科技,上櫃,412,453,371,375.5,349.14,盤中決定,必成立,420.202
2026/08/30,5443,均豪精密,上櫃,112,123,101,88.07,91.15,必成立,必成立,109.0116
2026/08/30,3324,雙鴻科技,上櫃,1140,1250,1030,687.67,576.36,必成立,必成立,1101.4699
2026/08/30,7714,創泓科技,上櫃,174.5,191.5,157.5,102.33,62.64,必成立,必成立,184.4032
2026/08/30,7799,禾榮科,上市,410,451,369,228.67,310.55,必成立,必成立,418.7953
2026/08/30,5471,松翰,上市,61.7,67.8,55.6,42.5,32.75,必成立,必成立,60.4772
2026/08/30,6739,竹陞科技,上櫃,1140,1250,1030,875,1200.55,必成立,盤中決定,1069.2592
2026/08/30,6505,台塑化,上市,71.4,78.5,64.3,66.8,38.67,盤中決定,必成立,71.4643
2026/08/30,6263,普萊德,上櫃,165.5,182,149,140.83,135.36,必成立,必成立,166.8674
2026/08/30,8039,台虹,上市,343.5,377.5,309.5,-73.83,-457.14,必成立,必成立,349.9931
2026/08/30,7631,聚賢研發-創,上市,125,137.5,112.5,126.33,106.09,盤中決定,必成立,124.7716
2026/08/30,6874,倍力,上櫃,82.8,91,74.6,64.67,78.99,必成立,盤中決定,82.2049
2026/08/30,5210,寶碩,上櫃,29.4,32.3,26.5,25.05,30.15,必成立,盤中決定,29.4742
2026/08/30,4198,欣大健康,上櫃,44,48.4,39.6,41.18,35.19,盤中決定,必成立,41.4465
2026/08/30,1256,鮮活果汁-KY,上市,188,206.5,169.5,159,175.32,必成立,盤中決定,185.0656
2026/08/30,1319,東陽,上市,82.1,90.3,73.9,68.77,66.98,必成立,必成立,83.2185
2026/08/30,6243,迅杰,上市,50.7,55.7,45.65,27.5,-19.87,必成立,必成立,51.2124
2026/08/30,2425,承啟,上市,46.95,51.6,42.3,38.02,0.06,必成立,必成立,45.3306
2026/08/30,1414,東和,上市,18.4,20.2,16.6,13.62,17.86,必成立,盤中決定,18.1167
2026/08/30,4905,台聯電訊,上櫃,90.1,99.1,81.1,29.17,0.34,必成立,必成立,95.4077
2026/08/30,3346,麗清,上市,20,22,18,21.4,10.37,盤中決定,必成立,20.2586
2026/08/30,7584,樂意,上櫃,27.1,29.8,24.4,23.93,28.16,必成立,盤中決定,27.0296
2026/08/30,3689,湧德,上櫃,116.5,128,105,95.5,122.53,必成立,盤中決定,113.5944
2026/08/30,6257,矽格,上市,237,260.5,213.5,185.83,29.55,必成立,必成立,234.9062
2026/08/30,2338,光罩,上市,57.9,63.6,52.2,29.03,1.19,必成立,必成立,58.4787
2026/08/30,3490,單井,上櫃,50.3,55.3,45.3,-20.12,-47.57,必成立,必成立,57.531
2026/08/30,3066,李洲科技,上櫃,27.5,30.25,24.75,14.77,14.59,必成立,必成立,25.7934
2026/08/30,6913,鴻呈,上櫃,159,174.5,143.5,110.33,43,必成立,必成立,153.0907
2026/08/30,0057,富邦摩台,上市,319.55,351.5,288,291.95,255.88,盤中決定,必成立,316.9216
2026/08/30,3264,欣銓科技,上櫃,235,258.5,211.5,175.67,197.91,必成立,必成立,223.9351
2026/08/30,3685,元創精密,上櫃,36.9,40.55,33.25,38.35,22.36,盤中決定,必成立,36.3921
2026/08/30,6695,芯鼎,上市,59.6,65.5,53.7,33.98,-17.13,必成立,必成立,63.4232
2026/08/30,8499,鼎炫-KY,上市,312,343,281,246.83,148.41,必成立,必成立,312.3769
2026/08/30,4549,桓達,上櫃,103,113,92.7,73.37,89.65,必成立,必成立,103.9794
2026/08/30,3516,亞帝歐,上櫃,26.25,28.85,23.65,24.28,25,盤中決定,盤中決定,26.3411
2026/08/30,2065,世豐,上櫃,36.65,40.3,33,28.42,20.48,必成立,必成立,37.3258
2026/08/30,2880,華南金,上市,38,41.8,34.2,32.33,23.66,必成立,必成立,37.9875
2026/08/30,1447,力鵬,上市,7.52,8.27,6.77,4.94,1.38,必成立,必成立,6.8463
2026/08/30,2605,新興,上市,35.05,38.55,31.55,27.83,33.11,必成立,盤中決定,36.4151
2026/08/30,6150,撼訊科技,上櫃,61.1,67.2,55,52.9,56.85,必成立,盤中決定,62.248
2026/08/30,3684,榮昌,上櫃,54.5,59.9,49.05,46.15,53.46,必成立,盤中決定,54.815
2026/08/30,1312,國喬,上市,14.15,15.55,12.75,6,11.19,必成立,必成立,13.9689
2026/08/30,4563,百德,上櫃,40.7,44.75,36.65,35.8,42.8,必成立,盤中決定,40.9183
2026/08/30,2436,偉詮電,上市,67.5,74.2,60.8,60.83,65.85,盤中決定,盤中決定,66.61
2026/08/30,4304,勝昱科技,上櫃,24.6,27.05,22.15,-7.88,-0.65,必成立,必成立,27.5634
2026/08/30,3219,倚強科,上櫃,87.1,95.8,78.4,30.2,29.28,必成立,必成立,83.928
2026/08/30,6517,保勝光學,上櫃,71.6,78.7,64.5,38.47,58.05,必成立,必成立,72.1603
2026/08/30,8906,花王企業,上櫃,28.35,31.15,25.55,24.92,24.19,必成立,必成立,28.4792
2026/08/30,1323,永裕,上市,21.5,23.65,19.35,19.43,15.23,盤中決定,必成立,21.6492
2026/08/30,5351,鈺創科技,上櫃,116,127.5,104.5,118.93,13.22,盤中決定,必成立,119.2266
2026/08/30,6792,詠業,上市,59.5,65.4,53.6,50.47,63.52,必成立,盤中決定,60.2467
2026/08/30,5521,工信,上市,10.65,11.7,9.59,9.52,8.7,必成立,必成立,10.9198
2026/08/30,4950,金耘國際,上櫃,16,17.6,14.4,16.53,17.29,盤中決定,盤中決定,15.8355
2026/08/30,3717,聯嘉投控,上市,23.25,25.55,20.95,21.92,24.34,盤中決定,盤中決定,23.0135
2026/08/30,5432,新門,上櫃,152.5,167.5,137.5,62.83,84.53,必成立,必成立,156.3499
2026/08/30,0052,富邦科技,上市,62.35,68.5,56.2,56.97,57.17,盤中決定,盤中決定,62.1341
2026/08/30,6615,慧智,上櫃,34.5,37.95,31.05,33.7,36.65,盤中決定,盤中決定,34.5318
2026/08/30,2702,華園,上市,12.7,13.95,11.45,11.27,13.06,必成立,盤中決定,12.6983
2026/08/30,4419,皇家美食,上櫃,46.1,50.7,41.5,46.6,47.2,盤中決定,盤中決定,46.2681
2026/08/30,0056,元大高股息,上市,53.85,59.2,48.5,47.65,44.41,必成立,必成立,53.7915
2026/08/30,1723,中碳,上市,86.3,94.9,77.7,78.47,78.85,盤中決定,盤中決定,87.7332
2026/08/30,2881,富邦金,上市,144,158,130,77.83,71.82,必成立,必成立,142.9757
2026/08/30,6967,汎瑋材料,上櫃,73.5,80.8,66.2,64.43,67.05,必成立,盤中決定,73.8425
2026/08/30,6472,保瑞,上市,435,478.5,391.5,312.17,263,必成立,必成立,456.1069
2026/08/30,1609,大亞,上市,38.1,41.9,34.3,33.58,35.72,必成立,盤中決定,38.1251
2026/08/30,3349,寶德,上櫃,22.95,25.2,20.7,21.73,13.71,盤中決定,必成立,23.402
2026/08/30,1710,東聯,上市,15.9,17.45,14.35,10.4,12.37,必成立,必成立,16.1305
2026/08/30,6103,合邦電子,上櫃,47,51.7,42.3,-17.98,2.37,必成立,必成立,43.5049
2026/08/30,2330,台積電,上市,2420,2660,2180,2278.33,2263.18,盤中決定,盤中決定,2417.8182
2026/08/30,2313,華通,上市,241,265,217,136,191.36,必成立,必成立,240.1492
2026/08/30,5607,遠雄港,上市,51.5,56.6,46.35,46.45,43.12,盤中決定,必成立,54.0851
2026/08/30,0051,元大中型100,上市,146,160.5,131.5,131.63,129.14,盤中決定,必成立,145.9762
2026/08/30,7823,奧義賽博-KY創,上市,83.4,91.7,75.1,87.97,81.55,盤中決定,盤中決定,83.4437
2026/08/30,3543,州巧,上市,54.5,59.9,49.05,6.88,-25.69,必成立,必成立,51.069
2026/08/30,6756,威鋒電子,上市,100,110,90,89.9,82.75,必成立,必成立,101.131
2026/08/30,1326,台化,上市,62.1,68.3,55.9,50.2,51.94,必成立,必成立,61.2747
2026/08/30,2634,漢翔,上市,67.8,74.5,61.1,56.63,20.57,必成立,必成立,70.4886
2026/08/30,9906,欣巴巴,上市,40.7,44.75,36.65,36.2,43.94,必成立,盤中決定,40.6461
2026/08/30,1815,富喬,上櫃,125.5,138,113,-1.6,-12.23,必成立,必成立,124.3039
2026/08/30,4564,元翎,上市,16.9,18.55,15.25,15.93,17.27,盤中決定,盤中決定,17.1466
2026/08/30,3354,律勝,上櫃,25.3,27.8,22.8,10.23,27.3,必成立,盤中決定,24.1931
2026/08/30,1504,東元,上市,72.6,79.8,65.4,58.1,56.44,必成立,必成立,73.7295
2026/08/30,6442,光聖,上市,1615,1775,1455,1026.67,1379.55,必成立,必成立,1650.1363
2026/08/30,4952,凌通,上市,51.9,57,46.75,44.18,53.87,必成立,盤中決定,52.6774
2026/08/30,4154,樂威科-KY,上櫃,12.5,13.75,11.25,10.05,12.57,必成立,盤中決定,12.4057
2026/08/30,6805,富世達,上市,2345,2575,2115,441.67,-287.73,必成立,必成立,2212.8877
2026/08/30,4558,寶緯,上櫃,18.65,20.5,16.8,16.08,18.3,必成立,盤中決定,17.8949
